DEF------->,probeCountTime-4_10,probeCountTime-3_10,weighted mean
purePeriodicDecept-17_13,-31.953999999999972,-31.81599999999997,-31.899714022713972
periodicDecept-11_27,-46.835158333333304,-46.56084166666669,-46.72724856278378
purePeriodicDecept-11_35,-49.349500000000035,-49.29700000000003,-49.328847726032535
purePeriodicDecept-20_1,-26.259999999999973,-26.549999999999976,-26.374079227629977
purePeriodicDecept-20_5,-27.239999999999974,-26.314999999999973,-26.876126601524973
purePeriodicDecept-0.1_35,369.75313332985536,-435.2234666690275,53.09413750883462
periodic-0.1,365.9875924988319,-429.53602916797405,53.0471775982472
periodic-0.7,261.1156650000236,-355.0384555556045,18.735023020616836
periodic-0.5,291.6964333335546,-374.77099166663976,29.523712352254137
purePeriodic-4,58.27833333333456,-90.4049999999994,-0.21021779811568564
purePeriodic-7,26.711166666666113,-45.621833333333235,-1.7429463407846306
purePeriodicDecept-17_27,-33.58599999999997,-31.29699999999997,-32.68556085501697
periodicMax-7,23.565366666666655,-70.74804999999996,-13.535328948780576
purePeriodicDecept-20_13,-26.03499999999997,-26.96499999999997,-26.400840281709975
purePeriodicDecept-17_5,-31.345999999999975,-31.48099999999998,-31.39910584734498
periodicDecept-11_35,-46.428200000000004,-46.60300833333335,-46.49696551603434
purePeriodicDecept-0.1_27,370.22688333036467,-434.49398333564693,53.66848703035495
periodicDecept-20_13,-26.07133333333334,-25.835049999999985,-25.978384987924684
purePeriodic-0.1,365.9686583296055,-431.76262500232497,52.15980088548369
purePeriodic-0.5,289.95750000022014,-373.54008333330756,28.953045375873927
purePeriodic-0.7,250.43080000000316,-346.1174666667319,15.76264308498105
periodicDecept-0.1_35,366.828230832132,-431.0232008346304,52.97210983891139
periodicDecept-5_5,110.07369166666663,-37.06910000000001,52.191153650613764
periodicDecept-5_1,110.7148833333333,-36.55844166666669,52.78099655229203
purePeriodicDecept-11_5,-47.91700000000004,-50.52650000000004,-48.94351636034654
purePeriodicDecept-11_1,-49.47350000000003,-49.98750000000003,-49.675695596558036
periodicDecept-11_1,-46.721508333333375,-46.38527777777778,-46.58924308476997
periodicDecept-11_5,-46.677978303747544,-46.52457499999999,-46.61763302648061
periodicDecept-5_13,43.764258333333316,-67.11455,0.14712448781100207
purePeriodicMax-0.1,373.3276166630074,-431.59173333561614,56.69114165512943
purePeriodicMax-0.7,265.275950000004,-359.6104500000678,19.46023321207494
periodicDecept-20_27,-26.42488333333333,-26.117283333333326,-26.303880676716126
purePeriodicMax-0.5,295.4871666668954,-378.7490833333002,30.258371355964726
periodicMax-0.5,298.11260416689424,-380.6528916666338,31.102109316608505
purePeriodicDecept-11_13,-48.486500000000035,-48.36250000000004,-48.437721295772036
purePeriodicDecept-17_1,-30.423999999999975,-31.75799999999997,-30.94876444709797
periodicDecept-0.1_27,368.0039791654803,-430.0055150013082,54.08568007598299
purePeriodicMax-7,24.738999999999866,-73.1075,-13.751528090685582
purePeriodicMax-4,55.92233333333359,-124.18600000000049,-14.9280789300917
purePeriodicDecept-0.1_5,-201.36803333249665,-1085.2074166667828,-549.0498064350859
periodicMax-0.1,368.7821555543846,-429.1359547632112,54.89980473707266
periodicMax-0.7,269.8008725000281,-358.99632490641415,22.44673934128477
purePeriodicDecept-0.1_1,-2442.9231000003238,-2134.174099999972,-2321.4684536155823
periodicMax-17,-30.751733333333323,-30.65079166666667,-30.712025238957402
periodic-15,-35.000775,-34.77092500000002,-34.910357377687056
periodic-17,-30.83930833333333,-30.57575,-30.735630639877755
periodic-11,-46.84685000000002,-46.70011666666669,-46.78912853333023
periodicDecept-17_1,-30.716158333333333,-30.671991666666674,-30.69878419809084
purePeriodicDecept-5_1,119.05949999999997,-37.71583333333335,57.38774504102597
purePeriodic-20,-27.599999999999973,-27.004999999999978,-27.365940895034974
purePeriodicDecept-17_35,-31.819999999999972,-31.713999999999974,-31.778302075417972
periodicDecept-20_35,-26.06808333333335,-26.212283333333335,-26.124808245830746
purePeriodicDecept-5_35,46.76716666666664,-70.29216666666669,0.7187586199446407
periodicDecept-17_27,-30.603691666666677,-30.905566666666676,-30.722442241979806
periodicDecept-0.1_1,-2440.9300166668804,-2133.2173166666694,-2319.8830265014803
periodicDecept-0.1_13,366.8586324988155,-430.06044750128274,53.36927687805209
periodic-20,-26.085233333333345,-26.10441666666668,-26.0927796086783
purePeriodicMax-11,-47.678000000000026,-49.93650000000004,-48.56644115724953
purePeriodicMax-17,-30.804999999999975,-32.32999999999998,-31.404899386674977
purePeriodicMax-15,-36.00000000000003,-35.52500000000003,-35.81314609267503
periodicDecept-17_35,-30.657008333333344,-30.67262500000001,-30.663151565304
purePeriodicDecept-5_27,49.59016666666664,-68.50783333333337,3.133171409260637
purePeriodicDecept-5_5,119.04966666666665,-39.47150000000002,56.69114164480516
periodicDecept-20_1,-26.105666666666675,-26.183966666666663,-26.136468058126773
periodicDecept-20_5,-25.981266666666677,-26.28065000000001,-26.099037078501027
purePeriodicDecept-0.1_13,366.926133329693,-430.37650000217513,53.285896785332284
periodicDecept-17_5,-30.52495,-30.397133333333336,-30.474669908235953
periodicDecept-5_35,43.80229166666667,-67.45053333333335,0.03802839888888343
periodicMax-15,-34.71361666666668,-34.91698333333334,-34.793616364111585
purePeriodicDecept-5_13,47.5478333333333,-69.37883333333335,1.5516132551133062
periodicMax-11,-46.7770416666667,-46.643308333333344,-46.72443409640789
purePeriodic-17,-31.658999999999974,-32.41999999999997,-31.958359628366978
purePeriodic-15,-35.24000000000003,-36.050000000000026,-35.55863508407003
purePeriodic-11,-49.215500000000034,-48.352500000000035,-48.87601595363904
periodicDecept-5_27,43.57379999999997,-67.59690833333333,-0.15816048878164324
purePeriodicDecept-20_27,-27.459999999999972,-27.054999999999975,-27.300682457964975
periodicDecept-0.1_5,-203.20012333194924,-1086.3464275001484,-550.6092552760775
periodicMax-20,-26.0432,-26.23231666666667,-26.117594080225153
periodicDecept-17_13,-30.732016666666677,-30.853491666666685,-30.779802094861008
purePeriodicDecept-20_35,-27.024999999999974,-26.479999999999972,-26.81060972738498
periodicDecept-11_13,-46.555750000000025,-46.46151666666668,-46.51868080729773
periodicMax-4,52.49688333333276,-120.31846666666739,-15.48463959979875
purePeriodicDecept-11_27,-49.69150000000003,-48.99700000000003,-49.41829991865853
periodic-7,22.376316666666348,-42.28860833333321,-3.0613547083399517
periodic-4,58.205616666667375,-89.96055555555526,-0.07949536093510545
purePeriodicMax-20,-27.219999999999974,-26.879999999999974,-27.086251940019977
ATT------->,purePeriodicDecept-5_5,purePeriodicMax-0.1,weighted mean
probeCountTime-4_10,7661.822000000001,881.5486166797646,6233.35195121334
periodic-23,7162.535333333335,-580.4481998077532,5531.241218770055
probeCountTime-4_100,7651.390833333334,-566.25256665561,5920.095234343005
purePeriodicRand-23,5094.569333333334,-580.4330998077533,3898.958102895933
probeCountTime-4_50,7652.078333333334,-408.1362166537398,5953.949892115113
probeCountTime-3_250,7897.120166666668,-545.604449989552,6118.404388816794
periodicRand-23,6456.474666666667,-580.4847831410866,4973.925919693544
purePeriodicRand-67,1480.1469999999997,-198.61466660011928,1126.46498391953
probeCountTime-2_100,7641.389166666661,233.5180833482604,6080.696644470563
probeCountTime-4_150,7655.962500000001,-519.4912833228042,5933.5554222196915
periodicRand-67,1910.2358333333332,-198.62084993345266,1465.9412689517685
periodic-67,1991.3054999999997,-198.5899166001193,1529.9376707493439
purePeriodic-15,7750.655000000007,-891.3119163713836,5929.962794135497
probeCountTime-4_200,7642.549166666666,-449.1156833230723,5937.794766723878
periodic-46,3927.7775000000006,-289.7113999034888,3039.235661934443
probeCountTime-2_200,7644.122499999994,-328.14073332015494,5964.523668800024
purePeriodicRand-57,1923.7759999999998,-233.42271658886386,1469.2967214050063
periodicRand-46,3590.808666666667,-289.7018165701556,2773.2615434278096
probeCountTime-4_250,7652.9145,-393.35336665690943,5957.724350247438
purePeriodic-31,6045.033833333333,-430.3577998571598,4680.796363951712
purePeriodic-3,2986.7864999999974,1599.573071083997,2694.5279548864696
purePeriodic-75,1570.684166666665,-177.1030666073156,1202.4598233053073
periodicRand-15,7196.000000000007,-891.22288303805,5492.181434999183
probeCountTime-3_100,7899.76616666667,-482.60773332093976,6133.7650960727005
probeCountTime-3_150,7894.7906666666695,-574.272549989144,6110.525864596187
periodicRand-3,3671.369500000005,1508.83173731343,3215.765389557016
purePeriodic-7,6810.548000000002,-1525.6083295519059,5054.284061135485
probeCountTime-3_300,7894.166333333336,-504.9503833229712,6124.637881055555
probeCountTime-2_300,7641.499666666661,-534.3455666549958,5919.010118082102
purePeriodicRand-15,6045.250000000004,-891.2792830380502,4583.859910962132
purePeriodicRand-31,4140.8848333333335,-430.37081652382665,3177.8113093023417
periodic-31,6104.697333333334,-430.37704985715993,4727.885884115745
periodic-15,7756.920000000007,-891.2396830380502,5934.923100179613
purePeriodicRand-75,1223.1141666666651,-177.1875166073157,928.0981841631832
purePeriodic-46,3923.651333333334,-289.7171165701555,3035.9775929210373
periodicRand-31,5442.731166666666,-430.3786665238265,4205.382609219746
probeCountTime-2_250,7642.108333333328,-450.152449987237,5937.228381976012
periodic-75,1573.5649999999982,-177.14548327398225,1204.7247854437728
purePeriodic-23,7130.889999999999,-580.4101331410865,5506.270953739285
probeCountTime-3_200,7893.792833333335,-576.4406166557374,6109.281486149972
purePeriodic-67,1969.657,-198.6038499334526,1512.847147803461
probeCountTime-2_150,7640.470333333328,-118.2231499868513,6005.866441710915
periodic-57,2731.607166666666,-233.45076658886407,2106.9278637653547
periodicRand-57,2568.1476666666667,-233.45589992219735,1977.904979212325
probeCountTime-3_10,7596.6035,1125.891566675232,6233.351951202635
periodicRand-75,1556.4608333333317,-177.16431660731567,1191.2201619755033
probeCountTime-4_300,7641.952166666668,-339.1993999907234,5960.480738708709
probeCountTime-2_10,7340.0955,1229.3568333357161,6052.683227986574
probeCountTime-1_10,5801.508499999997,1162.1394999999998,4824.084834743002
purePeriodicRand-3,2986.4999999999973,1599.0766877505807,2694.1972366022533
periodic-3,3670.913500000005,1508.6979039800963,3215.37726372787
purePeriodicRand-7,6276.918500000001,-1596.904780183966,4618.059027924535
probeCountTime-3_50,7900.091,-15.087316652900773,6232.518836323091
probeCountTime-2_50,7638.121999999998,768.6105000127526,6190.851237781554
periodic-7,6781.144000000001,-1525.3665628852384,5031.125840230591
purePeriodicRand-46,2645.3793333333338,-289.70141657015546,2027.0156324947234
purePeriodic-57,2734.022,-233.46796658886404,2108.8303155798453
,,
ATT------->,periodic-20,periodic-0.1,weighted mean
probeCountTime-4_10,8905.652249999996,898.0822725100306,6795.141706066627
periodic-23,8887.581600000003,-580.4863424991607,6392.135755693356
probeCountTime-4_100,8498.405499999999,-564.2684333328597,6109.807092955599
purePeriodicRand-23,8363.480499999989,-580.5028166658277,6006.164716603701
probeCountTime-4_50,8951.377333333334,-408.2632999974141,6484.509069977406
probeCountTime-3_250,7579.344383333331,-547.5242533326966,5437.390957380077
periodicRand-23,8682.129999999994,-580.5405499991612,6240.819600501983
purePeriodicRand-67,6234.5943333333225,-198.56236666647385,4539.043113138921
probeCountTime-2_100,9023.815791666657,233.22504167565316,6706.928831276381
probeCountTime-4_150,7938.646333333333,-518.7674666659175,5709.572962824863
periodicRand-67,7625.277833333324,-198.51496666647378,5563.204414759788
periodic-67,8013.678666666658,-198.5020499998071,5849.240011752315
purePeriodic-15,8547.807500000008,-891.4822166653737,6059.946572119772
probeCountTime-4_200,7297.551333333334,-450.968999999168,5255.317058846677
periodic-46,8820.004999999996,-289.6645833329968,6419.020211678491
probeCountTime-2_200,8660.853474999998,-326.70018666265173,6292.054098856207
purePeriodicRand-57,6886.368999999995,-233.35194999976332,5009.863870843711
periodicRand-46,8433.00799999999,-289.61471666632985,6134.034994952647
probeCountTime-4_250,6701.159833333334,-390.3451833324849,4832.091420306362
purePeriodic-31,6791.4168333332955,-430.326983332749,4888.022106405554
purePeriodic-3,2997.146499999999,1593.3113500072538,2627.1455016530963
purePeriodic-75,1521.4333333333318,-177.01669999982673,1073.7823338702922
periodicRand-15,8357.917500000009,-891.4481333320404,5920.113803158486
probeCountTime-3_100,8786.836641666663,-476.1725008313201,6345.437001232777
probeCountTime-3_150,8408.388033333338,-578.2277599996315,6039.83584591274
periodicRand-3,3697.330449999997,1544.1475683435447,3129.828050704421
purePeriodic-7,6976.89,-1472.602100001631,4749.904507763945
probeCountTime-3_300,7177.003933333334,-508.3761608326211,5151.411179418097
probeCountTime-2_300,8245.513666666666,-526.6436966650488,5933.485091156472
purePeriodicRand-15,8184.547500000009,-891.4573333320404,5792.435542017247
purePeriodicRand-31,8209.765499999987,-430.3830166660826,5932.529759714901
periodic-31,9004.997833333331,-430.32071666608243,6518.183563695708
periodic-15,8478.196625,-891.4377291653734,6008.694372399658
purePeriodicRand-75,5776.521666666673,-177.05081666649335,4207.371782810793
purePeriodic-46,4696.164666666653,-289.62571666633,3382.0877115547064
periodicRand-31,8717.032666666659,-430.3852999994159,6306.098747552059
probeCountTime-2_250,8452.955875000001,-451.4767399971548,6106.064249385203
periodic-75,7640.106666666674,-177.06876666649336,5579.7773505065115
purePeriodic-23,7455.497999999957,-580.5230166658275,5337.48877440221
probeCountTime-3_200,8002.3345,-578.0436833328265,5740.852093006889
purePeriodic-67,1636.7611666666653,-198.5005333331406,1153.051479506267
probeCountTime-2_150,8858.916258333333,-112.39628166116505,6494.397464016774
periodic-57,8603.13833333333,-233.3432666664299,6274.1561776358885
periodicRand-57,8105.850166666662,-233.3708833330967,5907.9281998663855
probeCountTime-3_10,8905.664525000002,1134.1955291740712,6857.381799572837
periodicRand-75,7301.834166666673,-177.00524999982667,5330.678186808874
probeCountTime-4_300,6200.711666666667,-340.25219999926134,4476.746313021037
probeCountTime-2_10,8905.676625000007,1232.8591458353087,6883.394929432566
probeCountTime-1_10,8952.09999999999,1162.1543749999996,6898.947492504379
purePeriodicRand-3,2997.121,1593.1682500072534,2627.0890064771997
periodic-3,3697.330299999996,1544.1548516768776,3129.8298598666156
purePeriodicRand-7,6892.635499999996,-1552.9904166684182,4666.668996135253
probeCountTime-3_50,9029.222466666657,-11.060045827218996,6646.525641488812
probeCountTime-2_50,9093.06300833334,768.2841616766407,6898.947492493698
periodic-7,6950.361499999997,-1472.8697666682988,4730.297429093795
purePeriodicRand-46,7545.452999999987,-289.63611666632994,5480.402274265937
purePeriodic-57,2888.076833333327,-233.34479999976332,2065.3811481591592
DEF------->,probeCountTime-1_10,probeCountTime-2_50,weighted mean
purePeriodicDecept-17_13,-117.60000000000012,114.82433333333337,-22.775922232126902
periodicDecept-11_27,-181.7999999999999,169.29817500000019,-38.559573436695345
purePeriodicDecept-11_35,-181.7999999999999,194.5320000000004,-28.26472112986177
purePeriodicDecept-20_1,-99.80000000000011,115.63033333333327,-11.909104977997927
purePeriodicDecept-20_5,-99.80000000000011,118.1789999999999,-10.869304356701612
purePeriodicDecept-0.1_35,-841.7126666666667,483.941266667641,-300.87466633775966
periodic-0.1,-841.6995833333333,1213.0717933322323,-3.397508753640409
periodic-0.7,-736.8000000000003,1025.3439916666837,-17.883540145716154
periodic-0.5,-774.33105,1080.9377000002305,-17.421712206940356
purePeriodic-4,-499.89999999999975,460.87899999999723,-107.92304428650252
purePeriodic-7,-285.6000000000002,263.0311666666686,-61.770404932304245
purePeriodicDecept-17_27,-117.60000000000012,149.3355000000001,-8.696116108011786
periodicMax-7,-285.6000000000002,257.2606666666686,-64.12464354799498
purePeriodicDecept-20_13,-99.80000000000011,117.81433333333325,-11.018080433041938
purePeriodicDecept-17_5,-117.60000000000012,113.24216666666669,-23.421411854018487
periodicDecept-11_35,-181.7999999999999,188.37658333333366,-30.77599738189076
purePeriodicDecept-0.1_27,-841.6976666666666,51.236566667011274,-477.39990158801504
periodicDecept-20_13,-99.80000000000011,120.95305,-9.73755223264699
purePeriodic-0.1,-841.7003333333332,1208.8843583301464,-5.106335264106406
purePeriodic-0.5,-774.3143333333333,1094.4295000002314,-11.907454333621502
purePeriodic-0.7,-736.8000000000004,1026.174666666645,-17.54464279505379
periodicDecept-0.1_35,-841.6998666666665,473.9139350009926,-304.95802190075113
periodicDecept-5_5,-399.89993333333297,-144.92995000000005,-295.877720248616
periodicDecept-5_1,-399.9004999999997,-144.87176666666664,-295.854318191832
purePeriodicDecept-11_5,-181.7999999999999,76.87900000000008,-76.26458870665141
purePeriodicDecept-11_1,-181.7999999999999,72.50516666666672,-78.04901766981384
periodicDecept-11_1,-181.7999999999999,73.72305000000009,-77.55214773259183
periodicDecept-11_5,-181.7999999999999,73.33220833333338,-77.71160264018869
periodicDecept-5_13,-399.8998499999995,-17.775333333333357,-244.0013501925601
purePeriodicMax-0.1,-841.7009999999999,1204.1695666632725,-7.030262499992546
purePeriodicMax-0.7,-736.8000000000004,1026.8959999999777,-17.250354468545368
periodicDecept-20_27,-99.80000000000011,136.72765,-3.301858191043088
